term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pressed,-0.016887143012295235,-0.012412823010350562,-0.00615235599749622,-3.8574963257827256e-05,0.009820129266413617,-0.00396836577456814,0.013806350983943495,-0.00117350709464628,0.0019419264874496198,-0.005069374936733145
recognized,-0.018032926927029957,-0.008854178774355681,-0.008820605290102715,0.005800655074842463,-0.00580483068828111,0.008844579467272254,0.0118914703353315,0.06160582866620477,0.01024783325930663,-0.032008281319741844
perfectly,-0.007399860783773193,0.016122259139674078,-0.0241864520944379,-0.01036205796997832,-0.01270722647789722,0.024510063143546878,0.02966480960938438,-0.000849319636092233,0.009461772587256086,-0.004803880591529161
hoping,0.0020151549649575773,0.015715632253701817,-0.011429600298770853,-0.009104599151309931,-0.0009588846015194386,0.004624530643592528,-0.006931439320447541,0.021782674917279907,0.024611866457907167,0.005049969038868479
touch,-0.007153715594202137,-0.018954183396431845,0.005709259277416862,-0.015494057666932013,-0.008591616942571406,0.0055862267998493705,0.02163110431038457,0.0222170673433438,-0.016146518680700245,0.002010547703724514
sideways,-0.01806525961604609,-0.02258578140834816,0.02944894731118565,0.017687295847590073,0.029816486249752527,-0.006583167121466532,-0.013368372245762594,-0.001410014735669294,0.0023332156519396616,-0.013986383175565081
definitely,0.0028797814049637237,0.020569137782842,-0.018845247908589324,-0.023793498129188715,0.0028050784034064913,0.005449550638840936,0.01417915324580651,0.011414505755481788,0.002950123892307253,-0.016209395453817547
information,-0.031222907545986278,-0.007042233861661057,-0.019814746771549818,-0.039176988350124446,-0.013476538869471977,0.027517449808484834,0.07466244600586625,0.008707110194253721,-0.02379852348857224,0.0015984293243048314
send,0.007938172057543574,-0.004803752528861657,-0.027602955333032086,0.01993391422818155,-0.007575801830123463,-0.013571329218568462,-0.011632549728680538,-0.018419015646847236,0.019930141037383903,-0.007040967366175252
join,-7.294608653992605e-05,0.014506581010407762,-0.0090257432124871,-0.004196321930305899,0.023940322782970536,0.013597108557690453,0.029338952505736426,0.03667893301992566,0.0008282678733378887,-0.00036449818587322436
step,-0.015700864409818306,-0.01160476609738077,0.011397747357982074,-0.0008555471208053205,0.04230019229885412,-0.015111119159192526,0.001442124924703303,-0.0041352962269416635,0.04747838040636884,0.05241377613110968
distant,-0.004797905952842225,-0.004572911699204442,0.02722411470079831,-0.0031504483912879987,0.017311431565747937,0.008756805196568518,0.01384917847313466,0.010714752602489294,0.00898442822058115,-0.018342443276848586
fallen,-0.009492873056446883,-0.02565995699017623,0.03017510107340614,-0.005755941448637447,0.005147740672158313,0.013493320021321031,0.01211749049829228,-0.008594986828195414,-0.004966013172226447,-0.0006321398470594819
living,-0.04945873173698496,-0.021603641012116814,-0.06255602805581024,0.007556610568502237,-0.041127153820063794,0.02821614427999375,-0.005312597633365418,-0.03970856270106232,-0.009007823701160877,-0.013197482646521902
forest,0.06594003906089141,-0.12560060333806955,0.11540943420278525,-0.04448660431987966,0.07380272795034952,0.05523751188869702,0.0034393070975561324,-0.08047165197305484,-0.08468981588190404,-0.3052228348361852
purple,-0.006975152020031119,0.011782569443935248,-0.024976271670509986,0.02509038070813474,-0.003605526534353195,-0.010762650151187325,-0.03011482882720632,0.004070276735320816,0.013764526264740173,0.0007333374684339034
class,0.1305751587952658,0.20990549913126683,0.0531845242041892,-0.14699011362034897,0.21858894589793665,0.15649976677807484,-0.11179328421976184,-0.20733397827423047,-0.02219345607160742,0.008257849069782414
bottle,0.006332298971712869,0.026378585661455886,-0.020430423418789766,-0.04823302525792589,-0.026306592056912895,0.016884915813418305,-0.00710601483276449,0.0038395352411655925,-0.0069812949657565015,0.0025681292484807106
impatiently,0.004373978548017604,0.015388339951324416,-0.014281802740168143,-0.011874795298419477,0.020275501052097425,-0.006494060042528657,0.0035348755031841678,-0.020821624088318808,-0.0005344090827782422,-0.03245891474910828
control,-0.020942621704057206,-0.004178574659382169,-0.0037143359785924393,0.006025627378354641,0.0037249802715723446,0.008438075125991627,0.02025631765002342,-0.009243404029399604,0.00908477315509748,-0.02208138637499421
hanging,-0.00542371411160245,0.0009246791898542113,0.012932172840643182,0.008144418730842378,0.023508877047639147,-0.024436918975914275,-0.03431525192368837,-0.00800927401783999,0.0016766336886748223,0.010896480815982693
powerful,-0.02461529431610443,-0.02593083648898713,-0.0012497737166920616,-0.04417009990903033,-0.01168645931883165,0.004700214990282568,0.020084809305968655,0.021682951105686854,-0.029404476068857488,0.00710011008667627
particularly,0.009105543027404274,0.03792882817372256,0.0016408099227675859,-0.008611582006008929,0.003131937915093122,0.011109091085434574,0.018092927846882278,0.01947756304379472,-0.004947588944414938,-0.0048444239628994135
somehow,0.0007816098644029758,0.00014410827485773442,-0.007806966175693827,-0.0076432091616464495,-0.00649166391522532,-0.007624437300982674,0.004439580780481632,0.016547591171980985,0.01506639962537698,0.004111667051042989
dunno,0.021197682904821734,0.006456024792146403,-0.014689311005272562,-0.005096457829369637,0.011207329838297147,0.022123367538429427,0.020067800586211222,0.03155320269654516,-0.0036486028142494326,0.006602320393852737
