term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
aback,1.0500000000332113,0.050000000531626475,0.05,0.05,1.0500000000733933,0.05000003232257689,0.05,3.7106817177441203,0.05000000026898325,0.05000000040366403,0.27057561318491447,0.05,0.05000000039125017,2.180197498271576,10.474210034871778,0.05000000014502193,0.05,0.05,0.798808901257582,4.86552620046827
abilities,1.050000000021426,0.05,1.0500000000479965,0.05,0.05,0.05,0.05,1.5895307303535544,0.05,0.05,0.05,0.05,2.5104692695567947,0.05,0.050000000005936684,0.05,0.05,0.05,0.05,0.05
ability,2.1596185769897036,0.05000000005913632,0.050000000163266396,0.05,0.05,0.05000000007203501,0.05,5.377663181153532,0.05000000021153284,0.050000000179416706,0.050000000176063535,0.05,5.980326537486797,0.05000000070387364,3.4726147833350383,0.050000000254228384,1.0500000000038612,0.05,0.05,5.2597769191822925
abou,3.716908484816164,1.336930554194796,0.05,0.05,0.05,0.05000000035328293,0.05,0.050058860616960486,0.05,0.05000000091614237,0.05000000024838502,0.05,0.05000000014730735,0.2320384601221201,9.14627948865969,1.2933761548941056,1.8776017335598458,0.05,0.050000000037199316,0.7468062614075036
absence,0.05000000005443929,1.1234012009260865,1.0649916317208254,0.05,0.05,0.05000000053324729,0.05,6.700838863239442,0.05000000004010879,0.05023592033148327,2.240275399808989,0.05,5.54062241244033,0.050000000129274844,14.575249064174603,0.05000000573196353,0.050000000453290526,0.05000000022166521,0.05000000002671835,1.1043855001332468
access,0.05000000004868661,0.05,0.05000000228323535,0.05,0.05,0.05000010604489367,0.05,3.9563206536564124,0.05,0.05,0.05,0.05,0.05000000080760625,0.05,2.8606676709771475,0.05,0.05,0.050000000255363795,0.05,3.3330115658988366
accident,2.1576098665993895,0.8303817691244972,1.050000000081596,0.05,0.05,0.05000000338761293,0.05,12.941842285688612,0.050000000170799475,5.367347328138536,1.0807286492988075,0.05,0.050000000436822116,0.05,5.025181072100696,0.05,0.9720994284379805,0.05,0.05,7.0248095965012665
accidents,1.4541479150576728,1.1856133362001162,0.05,0.05,0.05,0.050013787333767046,0.05,5.672250622007048,1.0500000000727174,2.9317536652761733,0.05000000055362542,0.05,0.05000000239487747,0.6192980846763894,1.690047156319835,0.05000000034441192,0.05000000062108117,0.4559998907310782,0.050000000050272005,1.3908755383223346
accord,0.050000000121089114,0.05,0.05,0.05,0.05,0.05,0.05,2.303654678934099,0.05,0.05,2.4377333701546773,0.05,0.05000000085350275,0.05,3.2186085463703193,0.05,0.05000045183763759,0.05000000012221397,1.050048817413491,1.2399541341586706
account,0.05000000017251606,0.05,1.0069732562611637,0.05,0.05,0.05,0.05,7.774729803317556,0.05,0.05000000006266498,0.9072955405422696,0.05,2.3650527652691795,0.05000000019930613,9.76449664604543,0.05,0.050000000031934916,0.05,0.05,1.4814519880662471
